feature,ridge_weight,elasticnet_weight,bayesian_weight,xgb_importance_raw,ensemble_weight
china_pmi_idx_roc1,0.005208834056162841,0.0,0.005791604207179374,0.0,0.003351521474951927
eu_ets_carbon_idx_lag2,0.005712873040110633,0.0,0.0052246755806176735,0.0,0.003332360784920608
eu_ets_carbon_idx_rollstd3,0.003835651697212509,0.0,0.0065559038887631465,1.8004885e-05,0.0031675603479440844
trade_volume_growth_idx_lag1,0.004925416522880883,0.0,0.004421250333283801,0.0036192767,0.0031588681117585313
war_risk_premium_idx_roc1,0.005185629234157553,0.0,0.0050565034838688195,0.00037015975,0.003152315511258371
seas_us_import_season_start,0.005423894085925948,0.0,0.003924392310916815,0.00013817329,0.0028600385143081183
month_cos,0.004772342676558903,0.0,0.004508371835095591,4.3873006e-05,0.00283134285822994
brent_usd_bbl_mom1,0.004463215074885098,0.0,0.004576026889480387,0.00032409737,0.002781868143250591
china_pmi_idx_lag2,0.0044321035953524025,0.0,0.004376024758124359,0.0,0.0026835868375521617
panama_restriction_idx_roc1,0.0040376012841441,0.0,0.004547754557987539,0.00046944938,0.0026560800272308473
trade_volume_growth_idx_lag2,0.004209083621755976,0.0,0.004335369533977299,0.00016289066,0.0026172586549513717
panama_restriction_idx_lag2,0.004297735516352644,0.0,0.004276333539391509,0.0,0.0026122756094007233
month_sin,0.004248788341208524,0.0,0.003869221181413958,1.3553088e-05,0.0024744925708930425
seas_indian_export_season,0.003633983980612319,0.0,0.004427128910950655,0.0,0.0024559924178763296
china_export_container_idx_rollstd3,0.0037731467210623646,0.0,0.003856310425756925,0.0,0.0023244791577987003
usd_index_lag1,0.003305247792519355,0.0,0.003341507384562767,0.0034585395,0.002322460607976584
panama_restriction_idx_rollmean3,0.003560345324355856,0.0,0.0034175848917306073,0.0,0.0021259773847250563
usd_index_rollstd3,0.0030598203754709256,0.0,0.0037763305477629206,0.00042642173,0.0021194471724448674
trade_volume_growth_idx,0.0018640678093581572,0.0,0.0034275098133947192,0.005280157,0.002066208425350308
panama_restriction_idx_lag1,0.0034091887971069096,0.0,0.003255059837039128,0.0,0.0020304075053254682
seas_us_import_season,0.0020074160825441015,0.002117948229831262,0.0022485307764244147,0.0,0.0019419450168990519
china_export_container_idx_rollmean3,0.0032737249970920795,0.0,0.0030707209266956845,0.0,0.0019329726917430559
seas_golden_week_prep,0.0020074160825441023,0.002082207051767244,0.0022485307764244155,0.0,0.0019310556938599139
seas_ganesh_chaturthi,0.0020074160825441015,0.0019982257804423073,0.0022485307764244147,0.0,0.0019054689828942929
china_export_container_idx_mom1,0.002270592333449831,0.0,0.003739287644568112,0.0,0.0018310399391388453
trade_volume_growth_idx_roc1,0.0027830020663939825,0.0,0.0029252886578958904,0.0,0.0017391542491065962
congestion_index_lag2,0.002158371876853035,0.0,0.0035217944028181195,0.0,0.001730585528674353
brent_usd_bbl_roc1,0.0025670989560243663,0.0,0.0026497668822169076,0.00032558382,0.0016174263847494247
seas_ramadan,0.0028967783304749964,0.0,0.0021170917799653954,7.695363e-06,0.0015282456741919006
vessel_idle_capacity_pct_mom1,0.003006141072639154,0.0,0.001754433535019517,0.00024482483,0.001471463320999154
china_export_container_idx,0.0011568716150071297,0.0,0.0016660452325573793,0.005077779,0.0012966760253601255
seas_black_friday_tail,0.0019290280256396345,0.0,0.0020422602029620935,0.0,0.001209938864502896
seas_christmas,0.0019290280256396345,0.0,0.0020422602029620935,0.0,0.001209938864502896
eu_ets_carbon_idx_mom1,0.001465682923094071,0.0,0.0018607287078369126,0.001961749,0.0011821444496837726
china_export_container_idx_roc1,0.0008409467438432822,0.0,0.0018686823732476955,0.0,0.0008255471243675965
china_export_container_idx_lag1,0.0008678707615407519,0.0,0.0016672681992822194,3.6954848e-06,0.000772702680391568
seas_us_import_season_peak,0.0009909781232206219,0.0,0.001416001059033752,0.0,0.0007333382748913122
seas_diwali_prep,0.0009909781232206216,0.0,0.001416001059033752,0.0,0.0007333382748913121
eu_ets_carbon_idx_roc1,0.0005978488141787047,0.0009516209166324216,0.0004579959119601936,0.0011829697,0.000713335599198848
seas_post_cny_recovery,0.0008591251775155019,0.0,0.0012280804836021393,0.0008823208,0.0007117788019186603
panama_restriction_idx_rollstd3,0.0011960160913230022,0.0,0.0006196723579782613,0.0,0.0005531887624817661
seas_golden_week,0.0008155271781916322,0.0,0.0009662906958631956,0.0,0.0005428693590552962
seas_singles_day_prep,0.0008155271781916327,0.0,0.000966290695863195,0.0,0.0005428693590552962
seas_diwali,0.0008155271781916319,0.0,0.0009662906958631943,0.0,0.0005428693590552957
trade_volume_growth_idx_rollstd3,0.00064762671432764,0.0,0.0010901951285131727,0.00010227351,0.0005382590147373915
china_pmi_idx_rollstd3,0.0006434125736354006,0.0,0.000634326689923663,0.00049469975,0.00043182771265867195
seas_thanksgiving,0.00015162287265343234,0.0,0.0004235534865243077,0.0,0.00017523991985780838
seas_singles_day,0.00015162287265343234,0.0,0.0004235534865243072,0.0,0.00017523991985780827
seas_black_friday,0.0001516228726534318,0.0,0.0004235534865243072,0.0,0.00017523991985780805
